gml_id,walk_00,walk200,walk500
id48F457F9-34B5-534C-E053-2462A00A4944,27,27,53
id48F45841-971C-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-9538-534C-E053-2462A00A4944,27,27,53
id48F45841-9538-534C-E053-2462A00A4944,27,27,53
id48F45841-9561-534C-E053-2462A00A4944,27,27,315
id48F45841-95E5-534C-E053-2462A00A4944,27,27,315
id48F45979-7F5D-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-96BB-534C-E053-2462A00A4944,NA,NA,315
id48F45841-96DC-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-889F-534C-E053-2462A00A4944,NA,26,370
id48F45815-0FD4-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-DEE5-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-9748-534C-E053-2462A00A4944,NA,NA,NA
id48F4588C-FF2C-534C-E053-2462A00A4944,NA,NA,315
id48F45803-9CEF-534C-E053-2462A00A4944,NA,26,53
id48F45803-9726-534C-E053-2462A00A4944,26,26,370
id48F45842-0230-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-FAA9-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-FB0D-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-F541-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-FAE9-534C-E053-2462A00A4944,NA,NA,NA
id48F45842-000D-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-E607-534C-E053-2462A00A4944,NA,NA,1612
id48F45841-FB45-534C-E053-2462A00A4944,NA,NA,1612
id48F45841-DB11-534C-E053-2462A00A4944,NA,NA,233
id48F45815-1029-534C-E053-2462A00A4944,NA,233,640
id48F45841-E4F9-534C-E053-2462A00A4944,NA,233,1612
id48F45841-D980-534C-E053-2462A00A4944,NA,233,758
id48F45841-DA02-534C-E053-2462A00A4944,233,233,640
id48F45803-BE5F-534C-E053-2462A00A4944,NA,NA,1418
id48F45841-E919-534C-E053-2462A00A4944,NA,972,1612
id48F45815-1025-534C-E053-2462A00A4944,NA,1612,1612
id48F45803-BBEF-534C-E053-2462A00A4944,446,1418,1418
id48F45803-BCC1-534C-E053-2462A00A4944,NA,1418,1418
id48F45841-E6CF-534C-E053-2462A00A4944,NA,NA,1612
id48F45803-BC62-534C-E053-2462A00A4944,NA,972,972
id48F45841-E6D0-534C-E053-2462A00A4944,NA,NA,1612
id48F45803-BCAA-534C-E053-2462A00A4944,NA,1418,1418
id48F45841-DDE5-534C-E053-2462A00A4944,NA,407,640
id48F45841-E01E-534C-E053-2462A00A4944,NA,NA,972
id48F45803-BBED-534C-E053-2462A00A4944,446,229,1418
id48F45815-1018-534C-E053-2462A00A4944,NA,23,582
id48F45841-DE4D-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-DE49-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-CA55-534C-E053-2462A00A4944,NA,NA,582
id48F4588C-FF60-534C-E053-2462A00A4944,NA,89,1452
id48F45815-1007-534C-E053-2462A00A4944,NA,NA,582
id48F45803-BB8E-534C-E053-2462A00A4944,NA,NA,1452
id48F45815-1015-534C-E053-2462A00A4944,NA,NA,NA
id48F45803-BB8F-534C-E053-2462A00A4944,NA,NA,340
id48F45803-BB02-534C-E053-2462A00A4944,217,251,416
id48F45803-BA17-534C-E053-2462A00A4944,217,217,416
