"","lsoa11cd","pop","min.dist","access.index","rank.access"
"100","E01008388",1801,249.457201847744,7806.0005028319,41
"101","E01008389",1739,267.609845795973,11947.0483020079,53
"102","E01008390",1792,239.357587939675,11386.330087001,65
"103","E01008391",1485,338.876598768165,5229.50805386113,174
"104","E01008392",1551,596.727175866391,0,9
"105","E01008394",1439,142.460813164775,15105.6035790942,58
"106","E01008395",1522,76.0448642663973,5860.09323344414,111
"107","E01008396",2991,64.5018784865667,26684.6612539989,73
"108","E01008397",1794,116.623758554288,23208.6260306506,76
"109","E01008398",1695,74.3995910271524,19775.2701840904,156
"110","E01008399",1896,256.780901113521,16476.9377977248,48
"111","E01008400",1317,42.6728692998775,9314.24383358555,75
"112","E01008401",1514,373.588783694864,6831.23736050879,87
"113","E01008402",1476,80.2817557268725,7797.47180682212,157
