"","x"
"602",46.2113667954579
"603",33.3894799916687
"604",37.6520209546002
"605",40.4092437162627
"606",50.4908745685729
"607",48.6203168839534
"608",16.2121193193703
"609",15.7324490497454
"610",28.3893142031412
"611",28.4067742872447
"612",21.872159096701
"613",30.0059777627489
"614",21.9301174854139
"615",21.7093693299601
"616",746.777171480958
"617",747.371545148778
"618",1175.13087823968
"619",1158.16781255366
"620",704.171048235247
"621",711.80945912515
"622",670.149138564908
"623",670.177145988483
"624",784.913068702277
"625",773.086751537218
"626",645.220617070341
"627",598.390486815955
"628",1081.39781939712
"629",1090.21680183551
"630",1090.12053018592
"631",1086.0845414483
"632",771.668646085414
"633",761.805303038682
"634",711.877668168968
"635",707.028671750991
"636",1153.36492706778
"637",1175.63802921111
"638",1154.79457170843
"639",1171.37072202896
"640",992.169695567186
"641",1001.29695135095
"642",1015.01773930322
"643",1003.94530518681
"644",524.125923768241
"645",570.27868528645
"646",743.215514277147
"647",2.6559400437735
"648",2.6554124503953
"649",2.62693374459699
"650",2.52002787843014
"651",2.29195075823139
"652",5.23084326666016
"653",4.25417860586207
"654",4.23014096371985
"655",3.94209221039501
"656",4.27452916997764
"657",6.14449049750404
"658",4.37898012379879
"659",4.19516912094003
"660",6.27547959358788
"661",4.46828146901578
"662",4.43733392686163
"663",6.74993753655358
"664",6.04767979892164
"665",4.59233866882696
"666",4.74874374473257
"667",5.03832922931936
"668",5.37138998367641
"669",5.53758199630709
"670",6.03228218890029
"671",6.13420102200921
"672",6.28604671618432
"673",3.4908186343124
"674",3.40307825160231
"675",6.11825581296916
"676",6.89583913936373
"677",6.29816455511367
"678",6.91167949957882
"679",6.43113268583106
"680",4.34465519957725
"681",4.56914928904696
"682",3.90091604193098
"683",21.7286075359381
"684",14.0001867380576
"685",13.2899394730448
"686",11.1114448971037
"687",10.5955069662567
"688",9.60145503459436
"689",9.60132170273758
"690",9.57971735140965
"691",1.82161322432001
"692",472.627721992825
"693",429.024461562648
"694",1505.69352494894
"695",1420.29679746974
