"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01008435",4538,39.88,0.35,0.23,48.65,0.86,-0.24,18.45,10.36,0.54,0.27
"E01008436",1639,53.74,0.35,0.32,47.5,1.49,0.74,28.7,12.17,0.37,0.44
"E01008437",174,72.73,0.53,0.46,80.06,2.78,-0.69,24.48,10.32,0.52,0.57
"E01008438",307,69.15,0.43,0.39,70.73,2.06,0.94,24.56,11.22,0.37,0.5
"E01008439",297,69.27,0.44,0.37,72.81,2.18,0.97,22.23,9.76,0.43,0.6
"E01008441",7160,32.39,0.25,0.2,32.39,1.23,-0.19,17.1,7.48,0.28,0.35
"E01008442",29548,5.68,0.04,0.05,8.11,-0.18,-1.6,19.6,3.41,0.04,0.06
"E01008443",27587,7.33,0.05,0.05,7.66,-0.07,-1.37,26.34,3.4,0.06,0.1
"E01008444",27749,7.2,0.06,0.08,11.24,-0.18,-1.34,10.34,5.05,0.07,0.06
"E01008445",12912,21.73,0.15,0.14,22.09,0.82,0.04,7.77,11.97,0.15,0.19
"E01008446",27104,7.72,0.05,0.07,9.62,-0.05,-0.79,15.36,3.61,0.03,0.08
"E01008447",25997,8.59,0.08,0.08,8.62,0.19,-1.22,4.56,5.2,0.06,0.11
"E01008448",28957,6.18,0.04,0.06,3.62,-0.29,-1.11,27.05,2.02,0.04,0.04
"E01008449",7032,32.72,0.22,0.16,34.08,1.28,0.24,22.45,23.74,0.28,0.52
"E01008450",4244,40.93,0.33,0.23,36.2,1.33,0.58,16.46,6.57,0.42,0.31
"E01008451",10455,25.72,0.21,0.16,26.06,0.58,0.47,7.45,12.75,0.26,0.23
"E01008452",24657,9.64,0.08,0.07,6.54,-0.09,0.14,14.43,11.39,0.1,0.15
"E01008453",19497,14.14,0.11,0.1,5.5,0.47,0.29,7.69,10.52,0.09,0.17
"E01008455",10175,26.21,0.19,0.14,31.79,0.68,0.46,16.81,16.02,0.16,0.33
"E01008456",3932,41.94,0.32,0.24,57.27,1.38,-0.23,12.67,6.3,0.4,0.44
"E01008457",4382,40.46,0.3,0.25,45.42,1.34,0.23,16.46,5.34,0.37,0.4
"E01008458",23053,10.96,0.05,0.06,10.03,0,-0.67,33.77,9.74,0.04,0.07
"E01008459",639,63.64,0.42,0.3,83.28,2.15,0.16,29.29,3.75,0.49,0.43
"E01008460",4743,39.23,0.26,0.22,67.08,1.16,-0.25,20.09,3.94,0.34,0.28
"E01033543",11286,24.25,0.03,0.03,7.17,0.42,1.63,32.38,67.03,0.03,0.29
"E01033545",6242,34.77,0.11,0.1,15.74,1.12,1.75,25.91,71.4,0.18,0.39
"E01033547",665,63.33,0.42,0.31,83.14,1.64,0.75,25.3,9.41,0.56,0.39
"E01033548",7644,31.23,0.22,0.19,9.97,1.39,-0.07,26.29,22.37,0.41,0.33
"E01033550",32644,1.94,0.02,0.02,0.77,-0.89,-1.48,15.51,6.98,0.02,0.07
"E01033551",32446,2.41,0.03,0.03,0.63,-1.02,-0.87,16.32,6.99,0.02,0.04
"E01033553",13855,20.48,0.05,0.04,28.4,1.07,0,30.81,40.77,0.24,0.48
"E01033554",5860,35.75,0.2,0.12,25.71,1.3,1.32,21.59,50.84,0.51,0.58
"E01033556",15478,18.48,0.11,0.08,31.25,0.48,0.3,19.33,16.51,0.11,0.33
