lsoa11cd,r_dom,h_dom,e_dom,ahah,gpp_d,ed_d,dent_d,pharm_d,gamb_d,ffood_d,leis_d,green900,pubs2_d,off2_d,tobac_d,no2,pm10,so2
E01008428,7.444609279,12.5316798,12.73805358,10.92104987,0.735172414,5.903793103,1.056551724,0.781034483,1.259310345,2.877586207,2.625517241,0.463716962,2.858275862,3.619310345,3.415862069,14.07939509,10.80676417,1.025254781
E01008429,12.17238234,6.904314323,12.92242838,10.62875441,0.722051282,5.854871795,0.398974359,0.653333333,0.705641026,2.409230769,2.578974359,0.438230447,2.335384615,2.994615385,2.696923077,14.0789663,10.72511193,1.024209323
E01008430,12.76931216,7.523703243,11.8823642,10.6931123,0.995909091,5.966818182,0.273636364,0.831363636,0.832727273,2.265909091,2.688181818,0.504114145,2.170909091,2.701363636,2.380909091,14.07001813,10.67411868,1.022817307
E01008431,12.17700075,8.95498673,13.79963891,11.61698657,0.910833333,5.627916667,0.505416667,0.730416667,0.833333333,2.23625,2.352083333,0.3887408,2.182916667,2.884583333,2.589583333,14.24825764,10.6370306,1.020920157
E01008432,13.65930318,7.008115964,12.98166531,11.17427903,0.555217391,5.119565217,0.696956522,0.725217391,0.94826087,1.884347826,1.842608696,0.426174916,1.844347826,2.618695652,2.375652174,14.09646712,10.66353249,1.021323743
E01008433,18.09679318,15.74636859,8.184295742,14.02652467,0.963448276,5.340689655,1.583793103,1.049310345,1.496206897,1.417586207,1.688965517,0.958226552,1.306206897,2.035862069,1.472068966,14.03908844,10.59594592,1.019183089
E01008434,40.73280179,11.10052591,8.139299354,19.90197219,0.667307692,5.975,1.219230769,0.667307692,0.766153846,0.669230769,2.289615385,0.961284932,0.575,1.388846154,0.766153846,13.97610325,10.59889582,1.020414041
E01008435,19.36426154,14.54515459,9.58590296,14.49890685,0.847916667,5.265833333,1.315,1.102083333,1.3075,1.359166667,1.82875,0.717135571,1.233333333,2.04,1.504583333,14.02300338,10.60839462,1.020294319
E01008436,24.39865431,17.7599096,11.13051767,17.76299601,1.014516129,6.016129032,1.192258065,1.081612903,1.171935484,1.119032258,2.632258065,0.564508155,1.052903226,1.770645161,1.24,14.04281476,10.65007579,1.023936664
E01008437,19.8439816,11.71063572,15.48888921,15.64146351,0.983125,3.248958333,1.321666667,0.958125,0.989375,1.216875,1.699583333,0.366607735,1.981041667,1.706458333,1.465208333,13.83623959,10.50363822,1.10226583
E01008438,27.47642548,5.715529588,16.48303369,16.44990158,0.550416667,2.610625,1.163958333,0.85625,0.7275,0.873541667,1.0125,0.363997224,1.046041667,1.937708333,1.557708333,14.60891803,10.6254431,1.077645629
E01008439,38.61164807,3.089584404,13.26659602,18.17027925,0.42625,2.191041667,0.695,0.807291667,0.584791667,0.44375,0.903541667,0.539601112,0.867083333,1.375625,1.306458333,14.70156254,10.60808388,1.074196387
E01008441,9.869084811,19.05822306,5.027020688,11.39551065,1.021463415,6.832195122,1.021463415,1.021463415,0.972682927,1.584878049,3.79097561,0.967595072,2.057560976,2.878292683,5.883414634,11.01111592,10.19843509,0.932292979
E01008442,5.280919956,33.10733918,4.758490633,14.56950082,1.548571429,8.849642857,1.426428571,1.548571429,2.451071429,2.516071429,5.811071429,0.858714691,1.910714286,4.901428571,6.800714286,10.39174321,10.08544341,0.909238712
E01008443,4.567921385,39.88536784,6.200502525,17.11460496,1.961176471,9.647058824,1.723823529,2.170588235,2.485588235,3.247647059,6.612352941,0.35182401,2.169117647,5.701764706,6.423823529,9.098806381,10.20834605,0.882940908
E01008444,6.844162155,35.06319787,4.931093861,15.80732176,1.816052632,7.690526316,1.76,1.816052632,1.852631579,2.127368421,4.649473684,0.911187406,1.644473684,3.737368421,6.655789474,10.72243465,10.15510211,0.923412398
E01008445,18.2069912,4.570575831,5.624335136,9.418333474,0.441914894,6.038297872,0.441914894,0.441914894,0.447021277,0.837021277,2.99787234,0.891626234,2.501914894,2.086170213,5.089361702,11.38377112,10.26212975,0.946179965
E01008446,7.729106863,33.86557266,5.141711012,15.7616646,1.710833333,7.637083333,1.715833333,1.714166667,1.5925,1.8825,4.59625,0.922243296,1.607083333,3.685416667,6.36,11.01744008,10.1850222,0.930175413
E01008447,7.60231297,9.834017253,6.283288197,7.925814251,0.57137931,9.270689655,0.473103448,0.57137931,1.924827586,1.943793103,6.236551724,0.546845645,1.207931034,5.331034483,5.595862069,10.66248516,10.0954781,0.9156362
E01008448,4.48909142,39.17536317,5.733672334,16.69313552,2.063333333,8.487692308,1.946666667,2.063333333,2.602307692,3.026410256,5.446666667,0.563271284,2.516666667,4.536153846,7.346923077,10.09298206,10.10370645,0.90446263
E01008449,43.88737736,1.85631889,7.617461076,17.62774511,0.359615385,2.841538462,0.438846154,0.378461538,0.476923077,0.350769231,2,0.802434698,1.685,0.471153846,1.382307692,12.95494665,10.31765283,1.003304985
E01008450,33.61551465,7.341069153,5.073099534,15.26320619,0.397307692,4.21,1.521923077,0.443076923,0.443076923,0.443076923,3.785,1.280958837,1.515,1.004615385,2.564615385,12.07411098,10.18187237,0.965733588
E01008451,40.37118076,5.782589441,5.786787181,17.19820983,0.631290323,4.155806452,1.127741935,0.26483871,0.318709677,0.499354839,3.662258065,1.056747173,1.463870968,0.592258065,2.603225806,12.26758447,10.1796491,0.972908899
E01008452,16.88533371,14.38088519,5.196884337,12.17663292,0.8868,3.6784,1.8084,0.7584,1.156,1.156,2.9948,1.605227224,2.1308,1.3332,2.4652,13.00174883,10.231256,0.990013698
E01008453,21.30501534,7.948656416,7.163587823,12.09718223,0.817142857,3.222857143,1.455357143,0.396428571,1.121785714,0.975357143,2.646428571,1.000581019,1.86,1.018571429,2.056785714,13.37656311,10.334836,1.011523765
E01008455,37.08608704,4.81610483,9.263804815,16.93293995,0.564,3.215666667,0.858666667,0.392333333,0.718333333,0.425,2.465333333,0.646016328,1.839333333,0.489333333,1.462,13.4942174,10.36722419,1.017486956
E01008456,9.02978921,19.19944792,5.249456048,11.23996323,1.125714286,6.489642857,1.086071429,1.086071429,1.123571429,1.54,3.01,0.808767458,2.533214286,2.734642857,5.668214286,10.70883816,10.15573958,0.923494091
E01008457,9.519969243,14.67659623,5.66118706,9.999824299,1.278421053,6.868684211,0.727631579,0.727631579,0.752368421,1.827631579,3.060526316,0.803929034,2.583947368,3.045263158,6.025789474,11.05211982,10.23730237,0.937088456
E01008458,5.392759402,42.64186917,5.939827011,18.23798903,3.69125,8.55421875,2.24109375,2.62390625,2.5565625,2.43515625,3.88578125,0.458218767,1.445625,5.4721875,8.47203125,9.408596768,10.22133967,0.909558135
E01008459,9.255667495,13.98876151,5.609055435,9.661537482,1.809722222,7.360555556,0.575555556,0.575555556,0.575555556,2.287777778,3.154722222,0.817364148,2.680277778,3.465,6.659166667,11.02422595,10.24642411,0.937340453
E01008460,7.097569008,20.06160184,5.256976111,10.89794452,1.877096774,7.619354839,0.846129032,0.846129032,0.846129032,2.588709677,3.151935484,0.842446452,2.675806452,3.762903226,7.599354839,10.72943469,10.22870154,0.931355369
E01033543,87.0598487,0.698164162,15.31564707,34.02128942,0.502916667,1.508680556,0.384027778,0.608680556,0.279722222,0.159166667,0.30125,0.408536011,0.106458333,2.665277778,0.361111111,14.92877193,10.66595125,1.053779176
E01033545,68.81450338,2.28312421,19.13685206,29.80020953,0.445833333,1.895119048,0.606428571,1.168928571,0.440357143,0.217619048,0.413095238,0.263518092,0.124761905,2.400833333,0.716904762,14.87367737,10.65496307,1.060496891
E01033547,15.00121233,13.0487296,7.365036981,11.81743033,0.7,6.554444444,0.947962963,0.70037037,1.340555556,1.829814815,3.925555556,0.672530971,1.620555556,2.006296296,1.837407407,12.14714364,10.29144591,0.972979292
E01033548,35.11823478,6.276139753,18.14344311,19.71024122,0.876590909,2.428863636,1.055681818,0.656818182,1.157727273,0.522954545,1.196136364,0.257113705,0.334090909,3.046818182,1.160227273,14.68997485,10.6132871,1.039592785
E01033550,5.047338212,35.86665456,4.895392469,15.47576367,1.845555556,7.226666667,3.128333333,1.835555556,3.365,2.083888889,3.197222222,1.182075638,2.037222222,4.606111111,7.320555556,11.0575695,10.47505856,0.967640817
E01033551,6.524054087,23.00381041,4.998606273,11.62377346,1.156808511,6.45787234,2.254893617,1.164893617,2.36893617,1.829148936,2.302553191,1.267254201,1.810425532,3.671489362,6.464893617,11.60747027,10.20645928,0.984932214
E01033553,38.8490254,3.380772448,19.46422685,20.39283588,0.534888889,2.176666667,0.779777778,0.69,0.898444444,0.451111111,0.848888889,0.23542495,0.411777778,2.908,0.913777778,14.82983483,10.64499336,1.046278457
E01033554,61.5823911,2.485891869,12.31319815,25.23074769,0.8004,1.347866667,0.4716,0.855866667,0.406266667,0.190533333,0.5964,0.529211117,0.3276,2.012133333,0.733466667,14.09376737,10.48993782,1.069056967
E01033556,19.57736892,9.3698528,5.746241085,11.54254126,1.09975,1.80175,1.162,0.959,1.19,1.13525,1.77175,2.186244691,1.486,1.57625,1.936,14.33904588,10.47093919,1.037559905
